SiO2 Al2O3 Na2O CaO B2O3 MgO K2O Li2O P2O5 PbO
90.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
10.0 0.0 20.0 0.0 70.0 0.0 0.0 0.0 0.0 0.0
20.0 0.0 20.0 0.0 60.0 0.0 0.0 0.0 0.0 0.0
30.0 0.0 20.0 0.0 50.0 0.0 0.0 0.0 0.0 0.0
40.0 0.0 20.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0
50.0 0.0 20.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0
70.0 0.0 20.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0
63.52 9.17 15.34 0.22 0.0 0.6 7.53 3.49 0.0 0.0
96.8 0.59 0.0 0.0 2.6 0.0 0.0 0.0 0.0 0.0
58.45 12.08 0.99 6.59 3.54 18.34 0.0 0.0 0.0 0.0
75.2 2.95 12.15 0.0 0.0 0.0 1.6 0.0 0.0 8.1
60.0 8.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 16.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 22.5 17.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 5.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 10.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
56.0 24.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 8.0 0.0 32.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 13.33 0.0 26.67 0.0 0.0 0.0 0.0 0.0 0.0
60.0 20.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 17.5 0.0 22.5 0.0 0.0 0.0 0.0 0.0 0.0
60.0 0.0 32.0 0.0 8.0 0.0 0.0 0.0 0.0 0.0
60.0 0.0 17.5 0.0 22.5 0.0 0.0 0.0 0.0 0.0
83.05 1.21 4.18 0.22 10.64 0.31 0.39 0.0 0.0 0.0
71.0 0.0 29.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
85.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74.99 0.0 25.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0
73.08 0.0 24.38 0.0 0.0 0.0 0.0 0.0 0.0 0.0
72.74 0.0 24.27 0.0 0.0 0.0 0.0 0.0 0.0 0.0
66.68 0.0 22.29 11.03 0.0 0.0 0.0 0.0 0.0 0.0
66.34 0.0 22.18 10.97 0.0 0.0 0.0 0.0 0.0 0.0
71.33 0.0 15.02 0.0 13.64 0.0 0.0 0.0 0.0 0.0
71.03 0.0 14.96 0.0 13.58 0.0 0.0 0.0 0.0 0.0
70.78 0.0 14.9 0.0 13.53 0.0 0.0 0.0 0.0 0.0
61.04 10.1 0.0 11.47 3.69 11.17 0.0 0.0 0.0 0.0
73.79 0.0 15.5 10.7 0.0 0.0 0.0 0.0 0.0 0.0
73.78 0.0 15.5 10.7 0.0 0.0 0.0 0.0 0.0 0.0
73.76 0.0 15.49 10.69 0.0 0.0 0.0 0.0 0.0 0.0
73.74 0.0 15.49 10.69 0.0 0.0 0.0 0.0 0.0 0.0
73.74 0.0 15.49 10.69 0.0 0.0 0.0 0.0 0.0 0.0
74.97 0.0 0.0 0.0 0.0 0.0 0.0 24.99 0.0 0.0
74.96 0.0 0.0 0.0 0.0 0.0 0.0 24.99 0.0 0.0
74.93 0.0 0.0 0.0 0.0 0.0 0.0 24.98 0.0 0.0
74.93 0.0 0.0 0.0 0.0 0.0 0.0 24.98 0.0 0.0
74.99 0.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74.46 0.0 24.82 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74.4 0.0 24.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0
99.65 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 0.0 15.0 10.0 0.0 0.0 5.0 0.0 0.0 0.0
70.0 0.0 10.0 10.0 0.0 0.0 10.0 0.0 0.0 0.0
70.0 0.0 5.0 10.0 0.0 0.0 15.0 0.0 0.0 0.0
70.0 0.0 0.0 10.0 0.0 0.0 20.0 0.0 0.0 0.0
63.3 0.0 7.01 0.0 0.0 0.0 0.0 0.0 0.0 29.69
73.95 0.0 10.24 0.22 10.03 0.0 4.72 0.0 0.0 0.0
60.86 9.44 0.0 11.44 4.61 11.14 0.0 0.0 0.0 0.0
77.36 0.0 14.58 8.06 0.0 0.0 0.0 0.0 0.0 0.0
69.57 0.0 14.45 15.97 0.0 0.0 0.0 0.0 0.0 0.0
74.66 0.0 12.54 12.79 0.0 0.0 0.0 0.0 0.0 0.0
79.67 0.0 9.65 10.67 0.0 0.0 0.0 0.0 0.0 0.0
84.96 0.0 9.69 5.35 0.0 0.0 0.0 0.0 0.0 0.0
92.5 0.0 7.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
87.5 0.0 12.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
62.5 0.0 37.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
55.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0
62.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 38.0
71.15 4.44 2.09 0.0 16.74 0.0 2.06 2.17 0.0 0.0
66.67 0.0 33.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0
66.67 0.0 25.0 0.0 0.0 0.0 8.33 0.0 0.0 0.0
66.67 0.0 8.33 0.0 0.0 0.0 25.0 0.0 0.0 0.0
66.67 0.0 0.0 0.0 0.0 0.0 33.33 0.0 0.0 0.0
46.2 0.0 24.3 26.9 0.0 0.0 0.0 0.0 2.6 0.0
67.4 22.5 0.0 0.0 0.0 0.0 0.0 10.1 0.0 0.0
76.05 4.35 6.14 1.13 10.94 0.0 1.35 0.0 0.0 0.0
70.44 0.0 17.58 0.0 0.0 0.0 11.98 0.0 0.0 0.0
72.64 0.0 16.17 0.0 0.0 0.0 11.19 0.0 0.0 0.0
74.35 0.0 15.33 0.0 0.0 0.0 10.32 0.0 0.0 0.0
78.69 0.0 12.66 0.0 0.0 0.0 8.65 0.0 0.0 0.0
74.0 0.0 10.0 0.0 10.0 0.0 5.0 0.0 0.0 0.0
70.0 1.0 17.0 6.0 0.0 6.0 0.0 0.0 0.0 0.0
70.0 0.0 6.0 0.0 0.0 0.0 5.0 0.0 0.0 19.0
72.0 0.0 9.0 0.0 0.0 0.0 6.0 0.0 0.0 13.0
57.58 0.0 0.0 0.0 0.0 0.0 1.01 0.0 0.0 41.41
55.6 22.2 0.0 0.0 0.0 22.2 0.0 0.0 0.0 0.0
43.68 0.0 0.0 50.97 0.0 2.23 0.0 0.0 2.74 0.0
60.0 0.0 0.0 40.0 0.0 0.0 0.0 0.0 0.0 0.0
6.0 0.0 0.0 37.0 20.0 0.0 0.0 0.0 37.0 0.0
85.0 0.5 1.2 0.0 13.3 0.0 0.0 0.0 0.0 0.0
80.8 2.0 4.2 0.2 12.0 0.2 0.6 0.0 0.0 0.0
71.0 4.8 5.7 0.0 17.0 0.0 0.0 0.0 0.0 0.0
4.5 27.5 0.0 0.0 0.0 0.0 0.0 0.0 67.2 0.0
1.7 28.9 0.0 0.0 0.0 0.0 2.9 0.0 65.3 0.0
1.6 25.5 0.0 0.0 0.0 0.0 6.4 0.0 65.5 0.0
0.9 19.8 0.0 0.0 0.0 0.0 12.6 0.0 65.8 0.0
0.6 14.3 0.0 0.0 0.0 0.0 20.8 0.0 63.5 0.0
38.15 0.0 0.0 54.16 0.0 0.0 0.0 0.0 7.69 0.0
66.54 0.0 10.53 0.0 12.39 0.0 0.0 10.53 0.0 0.0
56.72 3.6 11.92 5.42 15.07 0.0 0.0 4.98 0.0 0.0
59.48 0.96 17.25 4.9 9.65 5.0 0.0 0.0 0.0 0.0
45.0 30.0 0.0 15.0 0.0 10.0 0.0 0.0 0.0 0.0
44.4 29.6 0.0 14.8 0.0 9.87 0.0 0.0 0.0 0.0
43.73 29.15 0.0 14.58 0.0 9.72 0.0 0.0 0.0 0.0
45.0 30.0 0.0 20.0 0.0 5.0 0.0 0.0 0.0 0.0
44.45 29.64 0.0 19.76 0.0 4.94 0.0 0.0 0.0 0.0
43.78 29.19 0.0 19.46 0.0 4.86 0.0 0.0 0.0 0.0
40.0 30.0 0.0 20.0 0.0 10.0 0.0 0.0 0.0 0.0
39.55 29.66 0.0 19.78 0.0 9.89 0.0 0.0 0.0 0.0
39.02 29.27 0.0 19.51 0.0 9.76 0.0 0.0 0.0 0.0
40.0 30.0 0.0 25.0 0.0 5.0 0.0 0.0 0.0 0.0
39.51 29.63 0.0 24.69 0.0 4.94 0.0 0.0 0.0 0.0
39.06 29.29 0.0 24.41 0.0 4.88 0.0 0.0 0.0 0.0
80.0 0.0 15.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0
80.0 0.0 10.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 0.0 20.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 0.0 10.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0
76.0 0.0 0.0 0.0 0.0 0.0 10.0 14.0 0.0 0.0
78.0 1.0 7.0 0.0 0.0 0.0 14.0 0.0 0.0 0.0
78.0 2.0 15.0 1.0 0.0 4.0 0.0 0.0 0.0 0.0
78.0 2.0 13.0 1.0 0.0 4.0 2.0 0.0 0.0 0.0
67.0 0.0 0.0 0.0 0.0 0.0 0.0 33.0 0.0 0.0
80.0 0.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0
77.23 1.98 14.85 2.97 0.0 2.97 0.0 0.0 0.0 0.0
75.0 1.0 8.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0
78.0 2.0 0.0 5.0 0.0 0.0 15.0 0.0 0.0 0.0
81.0 1.0 6.0 0.0 0.0 0.0 12.0 0.0 0.0 0.0
73.0 6.0 16.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0
78.0 2.0 5.0 5.0 0.0 0.0 10.0 0.0 0.0 0.0
64.0 13.0 17.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0
78.0 2.0 10.0 5.0 0.0 0.0 5.0 0.0 0.0 0.0
55.0 21.0 18.0 6.0 0.0 0.0 0.0 0.0 0.0 0.0
30.0 7.0 5.0 0.0 53.0 0.0 5.0 0.0 0.0 0.0
72.0 1.0 12.0 9.0 0.0 5.0 1.0 0.0 0.0 0.0
84.0 1.0 4.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0
69.2 2.5 2.0 8.0 0.0 7.0 9.5 0.0 0.0 0.0
60.0 10.0 2.0 10.0 5.0 5.0 8.0 0.0 0.0 0.0
58.5 12.1 1.0 6.6 3.5 18.3 0.0 0.0 0.0 0.0
41.5 10.32 10.43 0.0 0.0 27.51 10.24 0.0 0.0 0.0
42.14 15.41 10.34 0.0 0.0 23.03 9.08 0.0 0.0 0.0
39.85 15.11 10.26 25.16 0.0 0.0 9.62 0.0 0.0 0.0
40.07 14.93 15.07 14.86 0.0 0.0 14.83 0.0 0.0 0.0
51.53 10.25 10.0 0.0 0.0 18.39 9.83 0.0 0.0 0.0
51.35 15.02 10.08 0.0 0.0 13.5 10.05 0.0 0.0 0.0
50.12 14.74 10.05 14.94 0.0 0.0 9.95 0.0 0.0 0.0
60.44 9.9 10.24 0.0 0.0 9.14 10.28 0.0 0.0 0.0
60.07 9.89 9.83 10.03 0.0 0.0 10.0 0.0 0.0 0.0
60.11 14.21 10.64 0.0 0.0 4.73 10.31 0.0 0.0 0.0
70.66 14.9 0.0 0.0 0.0 3.96 0.0 10.48 0.0 0.0
70.83 15.36 0.0 0.0 4.23 0.0 0.0 9.58 0.0 0.0
70.18 14.95 0.0 0.0 0.0 0.0 0.0 9.94 4.93 0.0
75.02 3.01 0.0 0.0 0.0 0.0 1.99 19.98 0.0 0.0
62.54 4.36 14.98 11.64 0.0 0.0 4.96 0.0 0.0 0.0
57.14 10.98 0.0 25.05 6.83 0.0 0.0 0.0 0.0 0.0
57.38 11.01 0.0 19.16 6.86 5.59 0.0 0.0 0.0 0.0
78.73 0.0 3.87 0.0 14.46 0.0 0.87 0.0 0.0 0.0
75.72 5.12 6.62 1.02 10.52 0.0 0.0 0.0 0.0 0.0
67.41 6.11 5.05 5.69 4.15 8.61 0.0 0.0 0.0 0.0
50.5 0.0 10.34 9.83 19.15 0.0 10.18 0.0 0.0 0.0
52.45 10.61 10.42 0.0 18.46 0.0 8.06 0.0 0.0 0.0
45.92 0.27 4.62 43.89 0.0 0.0 0.0 0.0 5.04 0.0
44.88 0.0 4.35 40.11 0.0 4.63 0.0 0.0 4.88 0.0
45.16 0.0 4.51 34.82 0.0 9.39 0.0 0.0 4.59 0.0
46.13 0.0 23.74 27.06 0.0 0.0 0.0 0.0 3.07 0.0
53.37 0.0 20.41 23.15 0.0 0.0 0.0 0.0 3.07 0.0
63.77 9.89 0.0 0.0 0.0 5.33 0.0 19.88 0.0 0.0
63.2 9.86 10.72 0.0 0.0 5.17 0.0 9.91 0.0 0.0
72.6 11.64 0.04 0.0 0.0 0.0 0.006367 15.66 0.0 0.0
66.02 9.87 0.0 0.0 0.0 0.0 0.0 24.11 0.0 0.0
63.94 7.46 0.0 0.0 0.0 0.0 0.0 28.6 0.0 0.0
60.61 25.01 0.1 0.0 0.0 0.0 0.0 14.18 0.0 0.0
59.97 19.98 19.9 0.01 0.0 0.0 0.0 0.0 0.0 0.0
50.01 25.01 24.98 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.94 15.68 0.0 0.01 0.0 0.0 18.3 0.0 0.0 0.0
59.29 24.64 15.95 0.01 0.0 0.0 0.0 0.0 0.0 0.0
60.05 14.68 0.0 0.0 0.0 0.0 25.27 0.0 0.0 0.0
60.0 15.0 10.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0
59.7 15.34 9.99 14.97 0.0 0.0 0.0 0.0 0.0 0.0
55.71 14.5 9.88 0.0 0.0 19.82 0.0 0.0 0.0 0.0
55.06 14.15 9.92 20.58 0.0 0.16 0.0 0.0 0.0 0.0
60.59 14.8 4.95 0.0 0.0 14.63 4.93 0.0 0.0 0.0
59.68 14.72 5.09 15.3 0.0 0.12 4.99 0.0 0.0 0.0
55.51 14.73 5.18 0.0 0.0 19.56 5.02 0.0 0.0 0.0
55.15 14.38 5.1 20.36 0.0 0.0 5.01 0.0 0.0 0.0
65.51 15.29 0.07 0.0 0.0 0.0 0.0 16.3 0.0 0.0
65.74 15.28 0.06 0.0 0.0 4.19 0.0 14.73 0.0 0.0
65.18 15.98 0.1 0.0 0.0 0.0 0.0 14.02 4.72 0.0
65.03 15.08 0.08 5.0 0.0 0.0 0.0 14.81 0.0 0.0
65.99 15.18 7.77 0.0 0.0 3.84 0.0 7.22 0.0 0.0
64.1 15.45 7.66 0.0 0.0 0.0 7.5 0.0 5.29 0.0
65.28 14.96 7.61 4.96 0.0 0.0 0.0 7.19 0.0 0.0
64.22 4.96 5.62 20.1 0.0 0.22 4.88 0.0 0.0 0.0
64.86 4.88 5.79 10.08 0.0 9.38 5.01 0.0 0.0 0.0
63.44 5.02 6.17 5.38 0.0 15.05 4.94 0.0 0.0 0.0
67.14 4.9 5.62 0.0 0.0 17.65 4.69 0.0 0.0 0.0
53.8 10.11 5.0 0.0 10.45 15.5 5.04 0.0 0.0 0.0
51.98 10.8 5.08 15.88 10.96 0.12 5.08 0.0 0.0 0.0
