SiO2 Na2O CaO Al2O3 B2O3 MgO PbO P2O5 Li2O K2O TiO2 BaO ZnO
77.5 18.2 0.0 0.0 4.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
72.0 18.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.8 17.7 0.0 0.0 6.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
74.1 17.1 0.0 0.0 8.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.7 16.0 0.0 0.0 13.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
67.2 15.0 0.0 0.0 17.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
63.7 13.9 0.0 0.0 22.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.2 12.8 0.0 0.0 27.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 12.5 0.0 12.5 0.0
75.0 0.0 12.5 0.0 0.0 0.0 0.0 0.0 0.0 12.5 0.0 0.0 0.0
75.0 0.0 0.0 0.0 0.0 12.5 0.0 0.0 0.0 12.5 0.0 0.0 0.0
71.4 14.3 0.0 0.0 0.0 0.0 14.3 0.0 0.0 0.0 0.0 0.0 0.0
75.0 12.5 0.0 0.0 0.0 0.0 12.5 0.0 0.0 0.0 0.0 0.0 0.0
76.0 19.0 0.0 0.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0
72.0 18.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0
68.0 17.0 0.0 0.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0
64.0 16.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0
56.0 14.0 0.0 0.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0
55.56 11.11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 33.33
58.82 11.76 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 29.41
62.5 12.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0
66.67 13.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 20.0
55.56 11.11 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 33.33 0.0
58.82 11.76 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 29.41 0.0
62.5 12.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 25.0 0.0
66.67 13.33 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0
56.0 14.0 30.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
58.0 14.5 27.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.0 15.0 25.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
64.0 16.0 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
68.0 17.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 25.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.4 19.6 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 17.5 12.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
70.0 15.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
69.9 10.1 20.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
72.0 18.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
76.0 19.0 5.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
77.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0
62.0 28.0 0.0 10.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
62.0 23.0 0.0 15.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
62.0 19.0 0.0 19.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
62.0 17.5 0.0 20.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
62.0 16.0 0.0 22.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
69.0 29.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
69.9 27.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
83.9 14.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
53.2 22.0 0.0 0.0 0.0 24.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0
56.6 22.0 0.0 0.0 0.0 21.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0
58.1 22.0 0.0 0.0 0.0 19.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0
60.3 22.0 0.0 0.0 0.0 17.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0
62.7 22.0 0.0 0.0 0.0 15.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0
64.9 22.0 0.0 0.0 0.0 13.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0
53.5 16.0 0.0 0.0 0.0 30.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
56.0 16.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
58.3 16.0 0.0 0.0 0.0 25.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0
61.5 16.0 0.0 0.0 0.0 22.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 16.0 0.0 0.0 0.0 19.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
69.2 16.0 0.0 0.0 0.0 14.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0
54.7 11.0 0.0 0.0 0.0 34.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0
59.4 11.0 0.0 0.0 0.0 29.6 0.0 0.0 0.0 0.0 0.0 0.0 0.0
65.0 11.0 0.0 0.0 0.0 24.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
71.8 11.0 0.0 0.0 0.0 17.2 0.0 0.0 0.0 0.0 0.0 0.0 0.0
78.0 11.0 0.0 0.0 0.0 11.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
57.0 27.0 0.0 0.0 0.0 16.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
57.0 23.2 0.0 0.0 0.0 19.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0
57.0 22.2 0.0 0.0 0.0 20.8 0.0 0.0 0.0 0.0 0.0 0.0 0.0
