SiO2 Al2O3 CaO Na2O MgO B2O3 Li2O GeO2 K2O P2O5 BaO
10.0 0.0 0.0 0.0 50.0 0.0 0.0 0.0 0.0 40.0 0.0
10.0 0.0 0.0 0.0 47.5 0.0 0.0 0.0 0.0 42.5 0.0
10.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 45.0 0.0
7.5 0.0 0.0 0.0 46.25 0.0 0.0 0.0 0.0 46.25 0.0
5.0 0.0 0.0 0.0 52.5 0.0 0.0 0.0 0.0 42.5 0.0
5.0 0.0 0.0 0.0 50.0 0.0 0.0 0.0 0.0 45.0 0.0
5.0 0.0 0.0 0.0 47.5 0.0 0.0 0.0 0.0 47.5 0.0
5.0 0.0 0.0 0.0 45.0 0.0 0.0 0.0 0.0 50.0 0.0
2.5 0.0 0.0 0.0 48.75 0.0 0.0 0.0 0.0 48.75 0.0
10.0 0.0 47.5 0.0 0.0 0.0 0.0 0.0 0.0 42.5 0.0
10.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0
10.0 0.0 42.5 0.0 0.0 0.0 0.0 0.0 0.0 47.5 0.0
7.5 0.0 46.25 0.0 0.0 0.0 0.0 0.0 0.0 46.25 0.0
5.0 0.0 50.0 0.0 0.0 0.0 0.0 0.0 0.0 45.0 0.0
5.0 0.0 47.5 0.0 0.0 0.0 0.0 0.0 0.0 47.5 0.0
5.0 0.0 45.0 0.0 0.0 0.0 0.0 0.0 0.0 50.0 0.0
2.58 0.0 47.16 0.0 0.0 0.0 0.0 0.0 0.0 50.26 0.0
72.0 0.0 0.0 0.0 0.0 0.0 28.0 0.0 0.0 0.0 0.0
66.67 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 33.33
99.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
75.0 0.0 0.0 5.0 0.0 0.0 20.0 0.0 0.0 0.0 0.0
75.0 0.0 0.0 10.0 0.0 0.0 15.0 0.0 0.0 0.0 0.0
75.0 0.0 0.0 15.0 0.0 0.0 10.0 0.0 0.0 0.0 0.0
75.0 0.0 0.0 20.0 0.0 0.0 5.0 0.0 0.0 0.0 0.0
60.0 0.0 0.0 30.0 0.0 0.0 0.0 0.0 10.0 0.0 0.0
